date|cpc|User_Base
2022-11-20|40651|59
2022-11-20|40675|702
2022-11-20|40771|24
2022-11-20|40953|4949
2022-11-20|40962|678
2022-11-20|41029|8199
2022-11-20|41034|40
2022-11-20|41051|16
2022-11-20|41129|1792
2022-11-20|41149|342
2022-11-20|41177|13946
2022-11-20|41181|21506
2022-11-20|41235|656
2022-11-20|41247|57
2022-11-20|41329|22761
2022-11-20|41529|61
2022-11-20|41589|34
2022-11-20|41633|27
2022-11-20|41636|92
2022-11-20|41638|15
2022-11-20|41644|178
2022-11-20|41650|164
2022-11-20|41652|79
2022-11-20|41675|4
2022-11-20|41794|33
2022-11-20|41798|38
2022-11-20|41802|17
2022-11-20|41804|25
2022-11-20|41809|33
2022-11-20|41909|2878
2022-11-20|41949|34319
2022-11-20|42049|7270
2022-11-20|42069|28
2022-11-20|42071|9740
2022-11-20|42073|19
2022-11-20|42076|1463
2022-11-20|42078|10
2022-11-20|42339|3094
2022-11-20|42341|7
2022-11-20|42389|2
2022-11-20|42489|5
2022-11-20|42609|16
2022-11-20|42689|7411
2022-11-20|42709|54
2022-11-20|42911|2904
2022-11-20|43091|12
2022-11-20|43093|13
2022-11-20|43269|10
2022-11-20|43349|80
2022-11-20|43551|9621
2022-11-20|43553|644
2022-11-20|43571|62
2022-11-20|43575|8
2022-11-20|43609|20512
2022-11-20|43611|43
2022-11-20|43613|8520
2022-11-20|43615|22
2022-11-20|43617|18367
2022-11-20|43619|19
2022-11-20|43869|175
2022-11-20|44009|4550
2022-11-20|44051|417
2022-11-20|44169|29
2022-11-20|44409|13181
2022-11-20|44509|460
2022-11-20|44549|1
2022-11-20|44613|4768
2022-11-20|44618|6049
2022-11-20|44620|497
2022-11-20|44629|5749
2022-11-20|44649|5486
2022-11-20|44889|9
2022-11-20|44950|105
2022-11-20|45169|7949
2022-11-20|45300|3289
2022-11-20|45309|52
2022-11-20|45329|1883
2022-11-20|45333|3123
2022-11-20|45335|16107
2022-11-20|45337|2747
2022-11-20|45339|3078
2022-11-20|45341|22
2022-11-20|45343|7637
2022-11-20|45345|768
2022-11-20|45347|15420
2022-11-20|45349|6256
2022-11-20|45351|9390
2022-11-20|45353|57
2022-11-20|45355|279
2022-11-20|45357|3
2022-11-20|45359|48
2022-11-20|45371|51
2022-11-20|45433|14
2022-11-20|45489|1505
2022-11-20|45589|18858
2022-11-20|45629|1541
2022-11-20|45631|1609
2022-11-20|45633|30
